A01	Badanie ogolne moczu (profil)
80.81	Inne miejscowe wyciecie lub zniszczenie zmiany stawu - bark
80.82	Inne miejscowe wyciecie lub zniszczenie zmiany stawu - lokiec
80.83	Inne miejscowe wyciecie lub zniszczenie zmiany stawu - nadgarstek
80.84	Inne miejscowe wyciecie lub zniszczenie zmiany stawu - reka i palce
80.85	Inne miejscowe wyciecie lub zniszczenie zmiany stawu - biodro
80.86	Inne miejscowe wyciecie lub zniszczenie zmiany stawu - kolano
80.87	Inne miejscowe wyciecie lub zniszczenie zmiany stawu - kostka
80.88	Inne miejscowe wyciecie lub zniszczenie zmiany stawu - stopa i palce
80.89	Inne miejscowe wyciecie lub zniszczenie zmiany stawu - kregoslup
80.90	Inne wyciecie tkanek stawu - miejsce nieokreslone
80.91	Inne wyciecie tkanek stawu - bark
80.92	Inne wyciecie tkanek stawu - lokiec
80.93	Inne wyciecie tkanek stawu - nadgarstek
80.94	Inne wyciecie tkanek stawu - reka i palce
80.95	Inne wyciecie tkanek stawu - biodro
80.96	Inne wyciecie tkanek stawu - kolano
80.97	Inne wyciecie tkanek stawu - kostka
80.98	Inne wyciecie tkanek stawu - stopa i palce
80.99	Inne wyciecie tkanek stawu - kregoslup
81.00	Usztywnienie kregoslupa - inne
81.01	Spondylodeza szczytowo-obrotowa
81.01	Spondylodeza szczytowo-obrotowa
81.01	Spondylodeza szczytowo-obrotowa
81.01	Spondylodeza szczytowo-obrotowa
81.02	Spondylodeza szyjna z dostepu przedniego - inne
81.02	Spondylodeza szyjna z dostepu przedniego - inne
81.02	Spondylodeza szyjna z dostepu przedniego - inne
81.03	Spondylodeza szyjna z dostepu tylnego - inne
81.03	Spondylodeza szyjna z dostepu tylnego - inne
81.03	Spondylodeza szyjna z dostepu tylnego - inne
81.04	Spondylodeza piersiowa i piersiowo-ledzwiowa z dostepu przedniego
81.04	Spondylodeza piersiowa i piersiowo-ledzwiowa z dostepu przedniego
81.04	Spondylodeza piersiowa i piersiowo-ledzwiowa z dostepu przedniego
81.05	Spondylodeza piersiowa lub piersiowo-ledzwiowa z dostepu tylnego
81.05	Spondylodeza piersiowa lub piersiowo-ledzwiowa z dostepu tylnego
81.05	Spondylodeza piersiowa lub piersiowo-ledzwiowa z dostepu tylnego
81.06	Spondylodeza ledzwiowa/ ledzwiowo-krzyzowa z dostepu przedniego
81.06	Spondylodeza ledzwiowa/ ledzwiowo-krzyzowa z dostepu przedniego
81.06	Spondylodeza ledzwiowa/ ledzwiowo-krzyzowa z dostepu przedniego
81.07	Spondylodeza ledzwiowa lub ledzwiowo-krzyzowa wyrostkow poprzecznych z dostepu bocznego
81.08	Spondylodeza ledzwiowa/ ledzwiowo-krzyzowa z dostepu tylnego
81.08	Spondylodeza ledzwiowa/ ledzwiowo-krzyzowa z dostepu tylnego
81.08	Spondylodeza ledzwiowa/ ledzwiowo-krzyzowa z dostepu tylnego
81.08	Spondylodeza ledzwiowa/ ledzwiowo-krzyzowa z dostepu tylnego
81.08	Spondylodeza ledzwiowa/ ledzwiowo-krzyzowa z dostepu tylnego
81.11	Artrodeza stawu skokowego gornego
81.12	Potrojna artrodeza
81.13	Artrodeza podskokowa
81.14	Artrodeza srodstopia
81.15	Artrodeza stepowo-srodstopna
81.16	Artrodeza srodstopno-palcowa
81.17	Artrodeza stopy - inna
81.18	Operacyjne ograniczenie ruchomosci w stawie skokowym dolnym
81.21	Artrodeza stawu biodrowego
81.22	Artrodeza kolana
81.23	Artrodeza stawu barkowego
81.24	Artrodeza stawu lokciowego
81.25	Artrodeza nadgarstkowo-promieniowa
81.26	Artrodeza nadgarstkowo-srodreczna
81.27	Artrodeza srodreczno-paliczkowa
81.28	Artrodeza miedzypaliczkowa
81.29	Artrodeza - inna
81.30	Powtorna spondylodeza, nie okreslona inaczej
81.31	Powtorna spondylodeza szczytowo-obrotowa
81.31	Powtorna spondylodeza szczytowo-obrotowa
81.31	Powtorna spondylodeza szczytowo-obrotowa
81.31	Powtorna spondylodeza szczytowo-obrotowa
81.32	Powtorna spondylodeza szyjna z dostepu przedniego - inne
81.32	Powtorna spondylodeza szyjna z dostepu przedniego - inne
81.32	Powtorna spondylodeza szyjna z dostepu przedniego - inne
81.33	Powtorna spondylodeza szyjna z dostepu tylnego - inne
81.33	Powtorna spondylodeza szyjna z dostepu tylnego - inne
81.33	Powtorna spondylodeza szyjna z dostepu tylnego - inne
81.34	Powtorna spondylodeza piersiowa i piersiowo-ledzwiowa - dostep przedni
81.34	Powtorna spondylodeza piersiowa i piersiowo-ledzwiowa - dostep przedni
81.34	Powtorna spondylodeza piersiowa i piersiowo-ledzwiowa - dostep przedni
81.35	Powtorna spondylodeza piersiowa lub piersiowo-ledzwiowa - dostep tylny
81.35	Powtorna spondylodeza piersiowa lub piersiowo-ledzwiowa - dostep tylny
81.35	Powtorna spondylodeza piersiowa lub piersiowo-ledzwiowa - dostep tylny
81.36	Powtorna spondylodeza ledzwiowa/ledzwiowo-krzyzowa - dostep przedni
81.36	Powtorna spondylodeza ledzwiowa/ledzwiowo-krzyzowa - dostep przedni
81.36	Powtorna spondylodeza ledzwiowa/ledzwiowo-krzyzowa - dostep przedni
81.36	Powtorna spondylodeza ledzwiowa/ledzwiowo-krzyzowa - dostep przedni
81.37	Ponowna stabilizacja odcinka ledzwiowego i ledzwiowo-krzyzowego kregoslupa z dostepu poprzez wyrostki poprzeczne
81.38	Powtorna spondylodeza ledzwiowa/ledzwiowo-krzyzowa/dostep tylny
81.38	Powtorna spondylodeza ledzwiowa/ledzwiowo-krzyzowa/dostep tylny
81.38	Powtorna spondylodeza ledzwiowa/ledzwiowo-krzyzowa/dostep tylny
81.38	Powtorna spondylodeza ledzwiowa/ledzwiowo-krzyzowa/dostep tylny
81.38	Powtorna spondylodeza ledzwiowa/ledzwiowo-krzyzowa/dostep tylny
81.39	Powtorne operacyjne usztywnienie kregoslupa, nie okreslone inaczej
81.40	Operacja biodra - inna
81.42	Plastyka wiezadlowa kolana (five-in-one)
81.43	Plastyka niestabilnosci przednio-przysrodkowej kolana z uszkodzeniem lakotki
81.44	Plastyka niestabilnosci rzepki
81.45	Plastyka wiezadel krzyzowych kolana - inna
81.46	Plastyka wiezadel pobocznych kolana - inna
81.47	Plastyka stawu kolanowego - inna
81.49	Plastyka stawu skokowego - inna
81.51	Calkowita endoprotezoplastyka stawu biodrowego
81.51	Calkowita endoprotezoplastyka stawu biodrowego
81.51	Calkowita endoprotezoplastyka stawu biodrowego
81.52	Czesciowa endoprotezoplastyka stawu biodrowego
81.52	Czesciowa endoprotezoplastyka stawu biodrowego
81.52	Czesciowa endoprotezoplastyka stawu biodrowego
81.52	Czesciowa endoprotezoplastyka stawu biodrowego
81.52	Czesciowa endoprotezoplastyka stawu biodrowego
81.53	Rewizja po endoprotezoplastyce stawu biodrowego, nie okreslona inaczej
81.54	Calkowita pierwotna wymiana stawu kolanowego
81.54	Calkowita pierwotna wymiana stawu kolanowego
81.54	Calkowita pierwotna wymiana stawu kolanowego
81.55	Operacja rewizyjna po wymianie stawu kolanowego
81.56	Calkowita pierwotna wymiana stawu skokowego
81.57	Pierwotna wymiana stawow stopy/ palcow
81.58	Operacja rewizyjna po wymianie innych okreslonych stawow kończyny dolnej
81.58	Operacja rewizyjna po wymianie innych okreslonych stawow kończyny dolnej
81.59	Operacja rewizyjna po wymianie stawu kończyny dolnej - inna
81.62	Spondylodeza pierwotna lub ponowna 2-3 kregow
81.63	Spondylodeza pierwotna lub ponowna 4-8 kregow
81.64	Spondylodeza pierwotna lub ponowna 9 lub wiekszej liczby kregow
81.65	Wertebroplastyka
81.66	Kyfoplastyka
81.67	Przezskorna plastyka kregoslupa
81.71	Artroplastyka srodreczno-paliczkowa i miedzypaliczkowa - wszczep
81.72	Artroplastyka srodreczno-paliczkowa i miedzypaliczkowa - bez wszczepu
81.73	Calkowita endoproteza nadgarstka
81.74	Artroplastyka nadgarstka lub srodrecza - wszczep
81.75	Artroplastyka nadgarstka lub srodrecza - bez wszczepu
81.79	Inne zabiegi naprawcze nadgarstka/ reki/ palcow
81.80	Calkowita endoproteza stawu barkowego
81.81	Czesciowa endoproteza stawu barkowego
81.82	Operacja nawykowego zwichniecia barku
81.83	Inna artroplastyka stawu barkowego
81.83	Inna artroplastyka stawu barkowego
81.83	Inna artroplastyka stawu barkowego
81.83	Inna artroplastyka stawu barkowego
81.83	Inna artroplastyka stawu barkowego
81.84	Calkowita endoproteza stawu lokciowego
81.85	Artroplastyka stawu lokciowego - inne
81.85	Artroplastyka stawu lokciowego - inne
81.85	Artroplastyka stawu lokciowego - inne
81.85	Artroplastyka stawu lokciowego - inne
81.86	Czesciowa endoproteza stawu lokciowego
81.91	Naklucie stawu
81.92	Wstrzykniecie leku do stawu lub wiezadel
81.93	Szycie torebki stawowej/ wiezadel kończyny gornej
81.94	Szycie torebki stawowej/ wiezadel stawow stepu/ stopy
81.95	Szycie torebki stawowej/ wiezadel nogi - inne
81.96	Inny zabieg naprawczy stawu
81.96	Inny zabieg naprawczy stawu
81.97	Rewizja po endoprotezoplastyce stawu kończyny gornej
81.97	Rewizja po endoprotezoplastyce stawu kończyny gornej
81.98	Zabiegi diagnostyczne stawow - inne
81.99	Operacje stawu - inne
82.01	Eksploracja pochewki sciegnistej na rece
82.01	Eksploracja pochewki sciegnistej na rece
82.01	Eksploracja pochewki sciegnistej na rece
82.02	Miotomia w zakresie reki
82.03	Naciecie kaletki maziowej reki
82.04	Naciecie/ drenaz dloni/ klebu kciuka
82.09	Naciecie tkanek miekkich reki - inne
82.11	Naciecie sciegna reki
82.12	Naciecie powiezi reki
82.19	Rozdzielenie tkanek miekkich reki - inne
82.21	Wyciecie zmiany pochewki sciegna reki
82.21	Wyciecie zmiany pochewki sciegna reki
82.22	Wyciecie zmiany miesnia reki
82.29	Wyciecie zmiany tkanek miekkich reki - inne
82.31	Wyciecie kaletki reki
82.32	Wyciecie sciegna reki do przeszczepu
82.33	Wyciecie sciegna reki - inne
82.33	Wyciecie sciegna reki - inne
82.34	Wyciecie sciegna/ powiezi reki do przeszczepu
82.35	Wyciecie powiezi reki - inne
82.35	Wyciecie powiezi reki - inne
82.36	Wyciecie miesnia reki - inne
82.39	Wyciecie tkanek miekkich reki - inne
82.41	Szycie pochewki sciegna reki
82.42	Odroczone szycie sciegna zginacza reki
82.43	Odroczone szycie sciegna reki - inne
82.44	Szycie sciegna zginacza reki - inne
82.45	Szycie sciegna reki - inne
82.46	Szycie miesnia/ powiezi reki
82.51	Wydluzenie sciegna reki
82.52	Skrocenie sciegna reki
82.53	Powtorne przytwierdzenie sciegna reki
82.54	Powtorne przytwierdzenie miesnia reki
82.55	Zmiana dlugosci miesnia/ sciegna reki - inna
82.56	Przeszczep sciegna reki - inne
82.57	Przemieszczenie sciegna reki - inne
82.58	Przeszczepienie miesnia reki - inne
82.59	Przemieszczenie miesnia reki - inne
82.61	Policyzacja palca
82.69	Rekonstrukcja kciuka - inne
82.69	Rekonstrukcja kciuka - inne
82.69	Rekonstrukcja kciuka - inne
82.71	Rekonstrukcja bloczka sciegna reki
82.71	Rekonstrukcja bloczka sciegna reki
82.72	Operacja plastyczna reki-przeszczep miesnia/ powiezi
82.79	Operacja plastyczna reki z przeszczepem - inne
82.79	Operacja plastyczna reki z przeszczepem - inne
82.81	Przeniesienie palca, z wyjatkiem kciuka
82.82	Operacja rozszczepu reki (cleft hand)
82.83	Korekcja makrodaktylii
82.84	Korekcja palca mlotkowatego reki
82.85	Tenodeza reki - inne
82.85	Tenodeza reki - inne
82.86	Plastyka sciegna reki - inne
82.86	Plastyka sciegna reki - inne
82.89	Operacje plastyczne reki - inne
82.89	Operacje plastyczne reki - inne
82.89	Operacje plastyczne reki - inne
82.91	Uwolnienie zrostow reki
82.91	Uwolnienie zrostow reki
82.92	Aspiracja z kaletki reki
82.93	Aspiracja z tkanek miekkich reki - inne
82.94	Wstrzykniecie leku do kaletki reki
82.95	Wstrzykniecie leku do sciegna reki
82.96	Wstrzykniecie leku dzialajacego miejscowo do tkanek miekkich reki - inne
82.99	Operacje miesnia/ sciegna/ powiezi reki - inne
83.01	Eksploracja pochewki sciegna
83.01	Eksploracja pochewki sciegna
83.01	Eksploracja pochewki sciegna
83.02	Miotomia
83.03	Naciecie kaletki
83.03	Naciecie kaletki
83.09	Naciecie miesni, sciegna, powiezi i kaletki - inne
83.11	Naciecie sciegna Achillesa
83.12	Przeciecie sciegna przywodzicieli biodra
83.13	Inne przeciecie sciegna
83.13	Inne przeciecie sciegna
83.13	Inne przeciecie sciegna
83.13	Inne przeciecie sciegna
83.13	Inne przeciecie sciegna
83.14	Naciecie powiezi
83.14	Naciecie powiezi
83.14	Naciecie powiezi
83.14	Naciecie powiezi
83.14	Naciecie powiezi
83.19	Rozdzielenie tkanek miekkich - inne
83.19	Rozdzielenie tkanek miekkich - inne
83.19	Rozdzielenie tkanek miekkich - inne
83.19	Rozdzielenie tkanek miekkich - inne
83.19	Rozdzielenie tkanek miekkich - inne
83.19	Rozdzielenie tkanek miekkich - inne
83.21	Biopsja tkanek miekkich
83.29	Zabiegi diagnostyczne miesni, sciegien, powiezi i kaletki, lacznie z reka - inne
83.31	Wyciecie zmiany pochewki sciegna
83.31	Wyciecie zmiany pochewki sciegna
83.32	Wyciecie zmiany miesnia
83.32	Wyciecie zmiany miesnia
83.32	Wyciecie zmiany miesnia
83.32	Wyciecie zmiany miesnia
83.39	Wyciecie zmiany tkanek miekkich - inne
83.39	Wyciecie zmiany tkanek miekkich - inne
83.41	Wyciecie sciegna do przeszczepu
83.42	Wyciecie sciegna - inne
83.42	Wyciecie sciegna - inne
83.42	Wyciecie sciegna - inne
83.42	Wyciecie sciegna - inne
83.43	Wyciecie miesnia/ powiezi do przeszczepu
83.44	Wyciecie powiezi - inne
83.45	Wyciecie miesnia - inne
83.45	Wyciecie miesnia - inne
83.45	Wyciecie miesnia - inne
83.49	Wyciecie tkanek miekkich - inne
	
83.61	Szycie pochewki sciegna
83.62	Odroczone szycie sciegna
83.63	Operacja mankietu rotatorow
83.64	Szycie sciegna - inne
83.64	Szycie sciegna - inne
83.64	Szycie sciegna - inne
83.65	Szycie miesnia/ powiezi - inne
83.65	Szycie miesnia/ powiezi - inne
83.71	Wydluzenie sciegna
83.72	Skrocenie sciegna
83.73	Powtorne przytwierdzenie sciegna
83.74	Powtorne przytwierdzenie miesnia
83.75	Przeniesienie/ przeszczep sciegna
83.76	Przemieszczenie sciegna - inne
83.77	Przeniesienie/ przeszczep miesnia
83.77	Przeniesienie/ przeszczep miesnia
83.79	Inne przemieszczenie miesnia
83.81	Przeszczep sciegna
83.82	Przeszczep miesnia/ powiezi
83.83	Rekonstrukcja bloczka sciegna
83.84	Korekcja stopy końsko-szpotawej
83.84	Korekcja stopy końsko-szpotawej
83.85	Zmiana dlugosci sciegna/miesnia - inne
83.85	Zmiana dlugosci sciegna/miesnia - inne
83.85	Zmiana dlugosci sciegna/miesnia - inne
83.85	Zmiana dlugosci sciegna/miesnia - inne
83.85	Zmiana dlugosci sciegna/miesnia - inne
83.86	Plastyka miesnia czworoglowego
83.87	Operacje plastyczne miesnia - inne
83.88	Operacje plastyczne sciegna - inne
83.88	Operacje plastyczne sciegna - inne
83.88	Operacje plastyczne sciegna - inne
83.88	Operacje plastyczne sciegna - inne
83.89	Operacje plastyczne powiezi - inne
83.89	Operacje plastyczne powiezi - inne
83.89	Operacje plastyczne powiezi - inne
83.91	Uwolnienie zrostow miesni/ sciegien/ powiezi i kaletki
83.92	Wprowadzenie/ wymiana stymulatora miesnia szkieletowego
83.92	Wprowadzenie/ wymiana stymulatora miesnia szkieletowego
83.93	Usuniecie stymulatora miesnia szkieletowego
83.94	Aspiracja z kaletki maziowej
83.95	Aspiracja z tkanek miekkich - inne
83.96	Wstrzykniecie leku do kaletki maziowej
83.97	Wstrzykniecie leku do sciegna
83.98	Wstrzykniecie leku miejscowo dzialajacego do tkanek miekkich - inne
83.99	Operacje miesni/ sciegien/ powiezi/ kaletek - inne
83.99	Operacje miesni/ sciegien/ powiezi/ kaletek - inne
84.00	Amputacja kończyny gornej – nie okreslona inaczej
84.00	Amputacja kończyny gornej – nie okreslona inaczej
84.00	Amputacja kończyny gornej – nie okreslona inaczej
84.00	Amputacja kończyny gornej – nie okreslona inaczej
84.00	Amputacja kończyny gornej – nie okreslona inaczej
84.01	Amputacja i wyluszczenie palca reki w stawie
84.02	Amputacja i wyluszczenie kciuka w stawie
84.03	Amputacja w zakresie reki
84.04	Wyluszczenie nadgarstka
84.05	Amputacja w zakresie przedramienia
84.06	Wyluszczenie w stawie lokciowym
84.07	Amputacja w zakresie ramienia
84.08	Wyluszczenie w stawie barkowym
84.09	Amputacja kończyny gornej z odjeciem lopatki
84.10	Amputacja kończyn dolnej – nie okreslona inaczej
84.10	Amputacja kończyn dolnej – nie okreslona inaczej
84.10	Amputacja kończyn dolnej – nie okreslona inaczej
84.10	Amputacja kończyn dolnej – nie okreslona inaczej
84.11	Amputacja palca stopy
84.11	Amputacja palca stopy
84.11	Amputacja palca stopy
84.11	Amputacja palca stopy
84.11	Amputacja palca stopy
84.12	Amputacja w zakresie stopy
84.12	Amputacja w zakresie stopy
84.12	Amputacja w zakresie stopy
84.12	Amputacja w zakresie stopy
84.12	Amputacja w zakresie stopy
84.12	Amputacja w zakresie stopy
84.13	Wyluszczenie w stawie skokowym
84.14	Amputacja stopy w zakresie kostek bocznych
84.15	Inna amputacja ponizej kolana
84.16	Wyluszczenie w stawie kolanowym
84.16	Wyluszczenie w stawie kolanowym
84.16	Wyluszczenie w stawie kolanowym
84.16	Wyluszczenie w stawie kolanowym
84.17	Amputacja powyzej kolana
84.17	Amputacja powyzej kolana
84.17	Amputacja powyzej kolana
84.17	Amputacja powyzej kolana
84.17	Amputacja powyzej kolana
84.18	Wyluszczenie w stawie biodrowym
84.19	Brzuszno-miedniczne odjecie kończyny dolnej
84.19	Brzuszno-miedniczne odjecie kończyny dolnej
84.21	Replantacja kciuka
84.22	Replantacja palca
84.23	Replantacja przedramienia/ nadgarstka/ dloni
84.24	Replantacja gornej czesci ramienia
84.25	Replantacja palucha
84.26	Replantacja stopy
84.27	Replantacja dolnej czesci podudzia/ kostki
84.28	Replantacja uda
84.29	Replantacja w zakresie kończyn - inne
84.31	Powtorna amputacja kikuta
84.32	Wtorne zamkniecie kikuta
84.33	Oczyszczenie kikuta
84.41	Dopasowanie protezy gornej czesci ramienia/ barku
84.42	Dopasowanie protezy przedramienia/ reki
84.43	Dopasowanie protezy ramienia - inne
84.44	Wszczepienie protezy ramienia
84.45	Dopasowanie protezy powyzej kolana
84.46	Dopasowanie protezy ponizej kolana
84.47	Dopasowanie protezy podudzia - inne
84.48	Wszczepienie protezy podudzia
84.50	Wprowadzenie czynnikow wzrostu do ukladu miesniowo - szkieletowego
84.50	Wprowadzenie czynnikow wzrostu do ukladu miesniowo - szkieletowego
84.50	Wprowadzenie czynnikow wzrostu do ukladu miesniowo - szkieletowego
84.51	Wprowadzenie urzadzenia laczacego trzony kregow
84.51	Wprowadzenie urzadzenia laczacego trzony kregow
84.51	Wprowadzenie urzadzenia laczacego trzony kregow
84.51	Wprowadzenie urzadzenia laczacego trzony kregow
84.52	Wprowadzenie rekombinowanego bialka morfogenetycznego kosci - rhBMP
84.53	Wszczepienie urzadzenia wewnetrznego do indukujacego wzrost (wydluzanie) kończyny
84.54	Wszczepienie innego wewnetrznego urzadzenia wydluzajacego kończyne
84.55	Wprowadzenie wypelniacza przestrzeni kostnych
84.55	Wprowadzenie wypelniacza przestrzeni kostnych
84.55	Wprowadzenie wypelniacza przestrzeni kostnych
84.55	Wprowadzenie wypelniacza przestrzeni kostnych
84.56	Wprowadzenie wypelniacza do stawu (cementowego)
84.57	Usuniecie wypelniacza ze stawu (cementowego)
84.58	Wszczepienie miedzykolczystego urzadzenia do dekompresji wyrostka kolczystego
84.59	Wprowadzenie innego urzadzenia do kregoslupa
84.60	Wprowadzenie protezy krazka miedzykregowego, nie okreslone inaczej
84.60	Wprowadzenie protezy krazka miedzykregowego, nie okreslone inaczej
84.61	Wprowadzenie czesciowej protezy krazka miedzykregowego, w odcinku szyjnym
84.61	Wprowadzenie czesciowej protezy krazka miedzykregowego, w odcinku szyjnym
84.61	Wprowadzenie czesciowej protezy krazka miedzykregowego, w odcinku szyjnym
84.62	Wprowadzenie protezy krazka miedzykregowego, w odcinku szyjnym
84.62	Wprowadzenie protezy krazka miedzykregowego, w odcinku szyjnym
84.62	Wprowadzenie protezy krazka miedzykregowego, w odcinku szyjnym
84.63	Wprowadzenie protezy krazka miedzykregowego, w odcinku piersiowym
84.63	Wprowadzenie protezy krazka miedzykregowego, w odcinku piersiowym
84.64	Wprowadzenie czesciowej protezy krazka miedzykregowego, w odcinku ledzwiowo-krzyzowym
84.64	Wprowadzenie czesciowej protezy krazka miedzykregowego, w odcinku ledzwiowo-krzyzowym
84.64	Wprowadzenie czesciowej protezy krazka miedzykregowego, w odcinku ledzwiowo-krzyzowym
84.65	Wprowadzenie calkowitej protezy krazka miedzykregowego, w odcinku ledzwiowo-krzyzowym
84.65	Wprowadzenie calkowitej protezy krazka miedzykregowego, w odcinku ledzwiowo-krzyzowym
84.65	Wprowadzenie calkowitej protezy krazka miedzykregowego, w odcinku ledzwiowo-krzyzowym
84.66	Operacja rewizyjna lub wymiana protezy krazka miedzykregowego, w odcinku szyjnym
84.66	Operacja rewizyjna lub wymiana protezy krazka miedzykregowego, w odcinku szyjnym
84.67	Operacja rewizyjna lub wymiana protezy krazka miedzykregowego, w odcinku piersiowym
84.67	Operacja rewizyjna lub wymiana protezy krazka miedzykregowego, w odcinku piersiowym
84.68	Operacja rewizyjna lub wymiana protezy krazka miedzykregowego, w odcinku ledzwiowo-krzyzowym
84.68	Operacja rewizyjna lub wymiana protezy krazka miedzykregowego, w odcinku ledzwiowo-krzyzowym
84.69	Operacja rewizyjna lub wymiana protezy krazka miedzykregowego, nie okreslona inaczej
84.69	Operacja rewizyjna lub wymiana protezy krazka miedzykregowego, nie okreslona inaczej
84.71	Zalozenie zewnetrznego urzadzenia stabilizujacego, system jednoplaszczyznowy
84.72	Zalozenie zewnetrznego urzadzenia stabilizujacego, system pierscieniowo-pretowy
84.72	Zalozenie zewnetrznego urzadzenia stabilizujacego, system pierscieniowo-pretowy
84.73	Zalozenie hybrydowego urzadzenia do zewnetrznej stabilizacji
84.74	Zalozenie zewnetrznego urzadzenia stabilizujacego - system wieloplaszczyznowy
84.81	Rekonstrukcja wrodzonych i nabytych deformacji reki
84.81	Rekonstrukcja wrodzonych i nabytych deformacji reki
84.82	Rekonstrukcja pierwotna prostownikow/ zginaczy palcow reki
84.83	Rekonstrukcja pierwotna reki (jednoczasowa rekonstrukcja naczyń, nerwow i sciegien)
84.84	Rekonstrukcja reki przy uzyciu kompleksow tkankowych przenoszonych za posrednictwem polaczeń mikrochirurgicznych
84.85	Rekonstrukcja wtorna prostownikow/ zginaczy palcow reki
84.86	Rekonstrukcja wtorna wielotkankowych uszkodzeń reki (odtworzenie funkcji)
84.87	Rekonstrukcja wrodzonych i nabytych deformacji stopy
84.87	Rekonstrukcja wrodzonych i nabytych deformacji stopy
84.88	Rekonstrukcja mikrochirurgiczna naczyń i/ lub nerwow stopy
84.89	Rekonstrukcja wtorna wielotkankowych uszkodzeń stopy (odtworzenie funkcji)
84.91	Amputacja - inne
84.92	Rozdzielenie jednakowo zrosnietych blizniat
84.93	Rozdzielenie niejednakowo zrosnietych blizniat
84.94	Rekonstrukcja wrodzonych i nabytych deformacji - klatka piersiowa (zebra, mostek)
84.94	Rekonstrukcja wrodzonych i nabytych deformacji - klatka piersiowa (zebra, mostek)
84.95	Rekonstrukcja wrodzonych i nabytych deformacji - kosci (ramienna, udowa)
84.95	Rekonstrukcja wrodzonych i nabytych deformacji - kosci (ramienna, udowa)
84.96	Rekonstrukcja wrodzonych i nabytych deformacji - kosci (promieniowa i lokciowa)
84.96	Rekonstrukcja wrodzonych i nabytych deformacji - kosci (promieniowa i lokciowa)
84.97	Rekonstrukcja wrodzonych i nabytych deformacji - kosci miednicy
84.97	Rekonstrukcja wrodzonych i nabytych deformacji - kosci miednicy
84.98	Rekonstrukcja wrodzonych i nabytych deformacji - kosci (piszczelowa i strzalkowa)
84.98	Rekonstrukcja wrodzonych i nabytych deformacji - kosci (piszczelowa i strzalkowa)
84.99	Operacje ukladu miesniowo-szkieletowego - inne
84.99	Operacje ukladu miesniowo-szkieletowego - inne
84.99	Operacje ukladu miesniowo-szkieletowego - inne
84.99	Operacje ukladu miesniowo-szkieletowego - inne
85.01	Naciecie piersi (skory)
85.02	Naciecie sutka
85.11	Przezskorna iglowa biopsja piersi
85.11	Przezskorna iglowa biopsja piersi
85.11	Przezskorna iglowa biopsja piersi
85.11	Przezskorna iglowa biopsja piersi
85.12	Otwarta biopsja piersi
85.13	Biopsja gruboiglowa piersi wspomagana proznia
85.13	Biopsja gruboiglowa piersi wspomagana proznia
85.19	Zabiegi diagnostyczne piersi - inne
85.21	Miejscowe wyciecie zmiany piersi
85.22	Resekcja kwadrantu piersi
85.23	Subtotalna mammektomia
85.24	Wyciecie ektopicznej tkanki piersi
85.24	Wyciecie ektopicznej tkanki piersi
85.25	Wyciecie brodawki sutkowej
85.26	Wyciecie guza piersi - BCT
85.29	Usuniecie lub zniszczenie tkanki/ tkanek sutka piersi - inne
85.31	Jednostronna, pomniejszajaca plastyka piersi
85.31	Jednostronna, pomniejszajaca plastyka piersi
85.31	Jednostronna, pomniejszajaca plastyka piersi
85.32	Obustronna pomniejszajaca plastyka piersi
85.32	Obustronna pomniejszajaca plastyka piersi
85.33	Jednostronna podskorna mammektomia/ wszczep
85.34	Inna jednostronna podskorna mammektomia
85.35	Obustronna podskorna mammektomia/ wszczep
85.36	Obustronna podskorna mammektomia - inne
85.41	Jednostronne proste odjecie piersi
85.41	Jednostronne proste odjecie piersi
85.42	Obustronne proste odjecie piersi
85.42	Obustronne proste odjecie piersi
85.43	Jednostronne poszerzone proste odjecie piersi
85.43	Jednostronne poszerzone proste odjecie piersi
85.43	Jednostronne poszerzone proste odjecie piersi
85.44	Obustronne poszerzone proste odjecie piersi
85.45	Jednostronne radykalne odjecie piersi
85.45	Jednostronne radykalne odjecie piersi
85.46	Obustronne radykalne odjecie piersi
85.47	Jednostronne poszerzone radykalne odjecie piersi
85.47	Jednostronne poszerzone radykalne odjecie piersi
85.48	Obustronne poszerzone radykalne odjecie piersi
85.51	Jednostronne wstrzykniecie do piersi/ powiekszenie
85.52	Obustronne wstrzykniecie do piersi/ powiekszenie
85.53	Jednostronny wszczep do piersi
85.53	Jednostronny wszczep do piersi
85.54	Obustronny wszczep do piersi
85.55	Wymiana ekspandera na endoproteze piersiowa
85.59	Powiekszajaca plastyka sutka piersi - inne
	
	
85.81	Szycie rany piersi
85.82	Przeszczep skory rozszczepionej na piers
85.83	Przeszczep pelnej grubosci skory na piers
85.84	Przeszczep uszypulowany na piers
85.84	Przeszczep uszypulowany na piers
85.85	Przeszczep plata miesniowego na piers
85.85	Przeszczep plata miesniowego na piers
85.86	Przeniesienie brodawki sutkowej
85.87	Rekonstrukcja lub zabieg naprawczy brodawki sutkowej - inne
85.88	Rekonstrukcja piersi platem skorno-miesniowym wolnym/ uszypulowanym z proteza piersiowa
85.89	Plastyka piersi - inne
85.91	Aspiracja z piersi
85.92	Wstrzykniecie leku do piersi
85.93	Rewizja wszczepu piersi
85.94	Usuniecie wszczepu piersi
85.95	Wprowadzenie ekspandera do piersi
85.96	Usuniecie ekspandera z piersi
85.97	Wszczepienie ekspanderoprotezy piersiowej
85.98	Usuniecie zastawki (portu) ekspanderoprotezy piersiowej
85.99	Operacje piersi - inne
